E_elc_Ry	ks1/2J1/2
0.78881	-2.412583208
0.78961	-2.412689514
0.79041	-2.412822424
0.79121	-2.412928774
0.79201	-2.413061741
0.79281	-2.413168137
0.79361	-2.413250823
0.79441	-2.413383872
0.79521	-2.413490335
0.79601	-2.413596817
0.79681	-2.413729949
0.79761	-2.413836477
0.79841	-2.413943025
0.79921	-2.414076239
0.80001	-2.414182833
0.80081	-2.414316104
0.80161	-2.414422743
0.80241	-2.414529403
0.80321	-2.414662756
0.80401	-2.414769461
0.80481	-2.414876186
0.80561	-2.415009621
0.80641	-2.415116392
0.80721	-2.415223184
0.80801	-2.415356701
0.80881	-2.415463538
0.80961	-2.415570395
0.81041	-2.415703995
0.81121	-2.415810898
0.81201	-2.415917821
0.81281	-2.416051503
0.81361	-2.416158472
0.81441	-2.416265461
0.81521	-2.416399226
0.81601	-2.41650626
0.81681	-2.416613315
0.81761	-2.416720391
0.81841	-2.416854263
0.81921	-2.416961384
0.82001	-2.417068526
0.82081	-2.417202481
0.82161	-2.417309668
0.82241	-2.417416876
0.82321	-2.417550913
0.82401	-2.417658167
0.82481	-2.41776544
0.82561	-2.417872734
0.82641	-2.41800688
0.82721	-2.418114219
0.82801	-2.418221579
0.82881	-2.418355808
0.82961	-2.418463214
0.83041	-2.41857064
0.83121	-2.418678087
0.83201	-2.418812423
0.83281	-2.418919916
0.83361	-2.419027429
0.83441	-2.419134962
0.83521	-2.419269407
0.83601	-2.419376986
0.83681	-2.419484585
0.83761	-2.419592205
0.83841	-2.419726759
0.83921	-2.419834424
0.84001	-2.419942111
0.84081	-2.420049817
0.84161	-2.420184479
0.84241	-2.420292232
0.84321	-2.420400004
0.84401	-2.420507798
0.84481	-2.420615612
0.84561	-2.420753682
0.84641	-2.420858267
0.84721	-2.420966148
0.84801	-2.421101027
0.84881	-2.421208953
0.84961	-2.4213169
0.85041	-2.421424867
0.85121	-2.421512486
0.85201	-2.421644184
0.85281	-2.421752219
0.85361	-2.421860274
0.85441	-2.421995371
0.85521	-2.422103472
0.85601	-2.422211593
0.85681	-2.422346773
0.85761	-2.422421169
0.85841	-2.422559757
0.85921	-2.42266796
0.86001	-2.422803242
0.86081	-2.422911491
0.86161	-2.42301976
0.86241	-2.42312805
0.86321	-2.423212687
0.86401	-2.423348104
0.86481	-2.423456461
0.86561	-2.423564839
0.86641	-2.423673237
0.86721	-2.423781656
0.86801	-2.423917208
0.86881	-2.424025673
0.86961	-2.424134158
0.87041	-2.424242664
0.87121	-2.424351191
0.87201	-2.424459738
0.87281	-2.424595451
0.87361	-2.424704044
0.87441	-2.424812658
0.87521	-2.424921292
0.87601	-2.425029947
0.87681	-2.425138623
0.87761	-2.425274496
0.87841	-2.425383218
0.87921	-2.42549196
0.88001	-2.425600723
0.88081	-2.425709507
0.88161	-2.425818311
0.88241	-2.425954345
0.88321	-2.426063196
0.88401	-2.426172067
0.88481	-2.426280959
0.88561	-2.426389871
0.88641	-2.426498804
0.88721	-2.426607758
0.88801	-2.426743979
0.88881	-2.426852979
0.88961	-2.426961999
0.89041	-2.42707104
0.89121	-2.427180102
0.89201	-2.427289185
0.89281	-2.427398288
0.89361	-2.427534696
0.89441	-2.427643845
0.89521	-2.427729371
0.89601	-2.427838563
0.89681	-2.427947775
0.89761	-2.428057008
0.89841	-2.428166262
0.89921	-2.428275536
0.90001	-2.428412158
0.90081	-2.428521479
0.90161	-2.42863082
0.90241	-2.428740182
0.90321	-2.428849565
0.90401	-2.428958968
0.90481	-2.429068393
0.90561	-2.429177837
0.90641	-2.429287303
0.90721	-2.429424164
0.90801	-2.429506296
0.90881	-2.429643209
0.90961	-2.429752763
0.91041	-2.429862337
0.91121	-2.429971932
0.91201	-2.430081548
0.91281	-2.430191184
0.91361	-2.430300841
0.91441	-2.430410519
0.91521	-2.430520218
0.91601	-2.430629937
0.91681	-2.430767115
0.91761	-2.430876882
0.91841	-2.430986668
0.91921	-2.431096476
0.92001	-2.431206304
0.92081	-2.431316153
0.92161	-2.431426023
0.92241	-2.431535913
0.92321	-2.431645825
0.92401	-2.431755757
0.92481	-2.43186571
0.92561	-2.431975683
0.92641	-2.432062063
0.92721	-2.432172079
0.92801	-2.432309628
0.92881	-2.432419691
