E_elc_Ry	kp3/2J1/2 6s[1/2]
0.801601	2.327945558
0.802401	2.3277546
0.803201	2.327562826
0.804001	2.327384753
0.804801	2.327206628
0.805601	2.327014686
0.806401	2.326836456
0.807201	2.32664519
0.808001	2.326466859
0.808801	2.326274693
0.809601	2.326096257
0.810401	2.32591777
0.811201	2.325739233
0.812001	2.325546842
0.812801	2.325368199
0.813601	2.325176525
0.814401	2.324997781
0.815201	2.324818986
0.816001	2.324626316
0.816801	2.324447415
0.817601	2.324268464
0.818401	2.324089462
0.819201	2.323910409
0.820001	2.323717459
0.820801	2.3235383
0.821601	2.32335909
0.822401	2.323166857
0.823201	2.322987546
0.824001	2.322808185
0.824801	2.322628772
0.825601	2.322435432
0.826401	2.322255914
0.827201	2.322076344
0.828001	2.321896724
0.828801	2.321717053
0.829601	2.321537331
0.830401	2.321357558
0.831201	2.321177733
0.832001	2.320997858
0.832801	2.320817932
0.833601	2.320637955
0.834401	2.320444965
0.835201	2.320264886
0.836001	2.320084757
0.836801	2.319904577
0.837601	2.319724345
0.838401	2.319544063
0.839201	2.31936373
0.840001	2.319183345
0.840801	2.319002909
0.841601	2.318822423
0.842401	2.318641885
0.843201	2.318475268
0.844001	2.318294632
0.844801	2.318113945
0.845601	2.317920254
0.846401	2.317739466
0.847201	2.317558627
0.848001	2.317377736
0.848801	2.317210795
0.849601	2.317029807
0.850401	2.316848767
0.851201	2.316667676
0.852001	2.316486534
0.852801	2.31630534
0.853601	2.316138122
0.854401	2.315956831
0.855201	2.315775488
0.856001	2.315594094
0.856801	2.315412648
0.857601	2.3152452
0.858401	2.315063656
0.859201	2.314882062
0.860001	2.314700415
0.860801	2.314532783
0.861601	2.314351039
0.862401	2.314169243
0.863201	2.313987396
0.864001	2.313819579
0.864801	2.313637634
0.865601	2.313455637
0.866401	2.313273589
0.867201	2.313105588
0.868001	2.312923442
0.868801	2.312741244
0.869601	2.312558994
0.870401	2.312390809
0.871201	2.312208461
0.872001	2.312038991
0.872801	2.311856539
0.873601	2.311688169
0.874401	2.311505619
0.875201	2.311323017
0.876001	2.311140364
0.876801	2.310984735
0.877601	2.310801982
0.878401	2.310619178
0.879201	2.310436322
0.880001	2.310267583
0.880801	2.31009755
0.881601	2.309914543
0.882401	2.309731485
0.883201	2.309575479
0.884001	2.309392321
0.884801	2.309209112
0.885601	2.309025851
0.886401	2.308869656
0.887201	2.308686296
0.888001	2.308502883
0.888801	2.308332334
0.889601	2.308163036
0.890401	2.307992386
0.891201	2.30780877
0.892001	2.307625102
0.892801	2.30746853
0.893601	2.307284762
0.894401	2.307113854
0.895201	2.306929981
0.896001	2.306760311
0.896801	2.306589248
0.897601	2.306405225
0.898401	2.306234056
0.899201	2.306064199
0.900001	2.305892929
0.900801	2.305708701
0.901601	2.305537326
0.902401	2.305367281
0.903201	2.305195805
0.904001	2.305011372
0.904801	2.30483979
0.905601	2.304669558
0.906401	2.304497874
0.907201	2.304313237
0.908001	2.304141448
0.908801	2.303971028
0.909601	2.303799137
0.910401	2.303627193
0.911201	2.303456633
0.912001	2.303284587
0.912801	2.303099592
0.913601	2.302941788
0.914401	2.302756692
0.915201	2.302584439
0.916001	2.302413599
0.916801	2.302241244
0.917601	2.302068836
0.918401	2.301897856
0.919201	2.301725345
0.920001	2.301554273
0.920801	2.301381661
0.921601	2.301196106
0.922401	2.301037783
0.923201	2.300852127
0.924001	2.300693711
0.924801	2.300520841
0.925601	2.300349444
0.926401	2.300176473
0.927201	2.300004984
0.928001	2.29983191
0.928801	2.299660329
0.929601	2.299487154
0.930401	2.29931548
0.931201	2.299142202
0.932001	2.298970436
0.932801	2.298811507
0.933601	2.298625198
0.934401	2.298466175
0.935201	2.298279766
0.936001	2.298120649
0.936801	2.29794861
0.937601	2.297774927
0.938401	2.297602796
0.939201	2.297443495
0.940001	2.297256788
0.940801	2.297097393
0.941601	2.296925081
0.942401	2.296751096
0.943201	2.296578691
0.944001	2.296419113
0.944801	2.296246619
0.945601	2.296072434
0.946401	2.295899848
0.947201	2.295740086
0.948001	2.295567411
0.948801	2.295393025
0.949601	2.295220257
0.950401	2.295060311
0.951201	2.294887455
0.952001	2.294714555
0.952801	2.294554474
0.953601	2.294366927
0.954401	2.294206751
0.955201	2.29403367
0.956001	2.293873404
0.956801	2.293700234
0.957601	2.293539879
0.958401	2.29336662
0.959201	2.293193317
0.960001	2.293032826
0.960801	2.292844838
0.961601	2.292684253
0.962401	2.292510768
0.963201	2.292350093
0.964001	2.292176519
0.964801	2.292015753
0.965601	2.291842091
0.966401	2.291681235
0.967201	2.291507483
0.968001	2.291346537
0.968801	2.291172696
0.969601	2.290998812
0.970401	2.29083773
0.971201	2.290663756
0.972001	2.290502583
0.972801	2.290341365
0.973601	2.290167257
0.974401	2.290005949
0.975201	2.289831752
0.976001	2.289670352
0.976801	2.289496066
0.977601	2.289334576
0.978401	2.289160201
0.979201	2.28899862
0.980001	2.288836994
0.980801	2.288662485
0.981601	2.288500767
0.982401	2.288326169
0.983201	2.288164361
0.984001	2.288002507
0.984801	2.287827774
0.985601	2.287665829
0.986401	2.287503839
0.987201	2.287328971
0.988001	2.28716689
0.988801	2.287004763
0.989601	2.286829761
0.990401	2.286667543
0.991201	2.286505279
0.992001	2.286330142
0.992801	2.286167788
0.993601	2.286005387
0.994401	2.285842941
0.995201	2.285667624
0.996001	2.285505086
0.996801	2.285342503
0.997601	2.285179874
0.998401	2.285017199
0.999201	2.284841656
1.000001	2.28467889
1.000801	2.284516078
1.001601	2.28435322
1.002401	2.284190315
1.003201	2.284027365
1.004001	2.283851552
1.004801	2.283688511
